num_events,experimental_context,num_events_test,rmse_ml
10000,10uW_6000cps,10000,0.09753904478369099
10000,10uW_6000cps,100000,0.0781555817363993
10000,10uW_6000cps,1000000,0.07184008564624553
10000,10uW_12000cps,1000,0.22372281744427977
10000,10uW_12000cps,10000,0.10733605854286399
10000,10uW_12000cps,100000,0.09080529011244455
10000,10uW_12000cps,1000000,0.08714664417089704
10000,20uW_7000cps,1000,0.24227064595683226
10000,20uW_7000cps,10000,0.1012050822275258
10000,20uW_7000cps,100000,0.06961038597734723
10000,20uW_7000cps,1000000,0.06552660934757343
10000,30uW_7000cps,1000,0.29763973338274363
10000,30uW_7000cps,10000,0.19587711383290937
10000,30uW_7000cps,100000,0.17624704143727032
10000,30uW_7000cps,1000000,0.17647452423446364
100000,1p2uW_3000cps,1000,0.31233094026832375
100000,1p2uW_3000cps,10000,0.2810108520793052
100000,1p2uW_3000cps,100000,0.27487835817797074
100000,1p2uW_3000cps,1000000,0.27619386587980876
100000,2p5uW_4000cps,1000,0.2354242466422297
100000,2p5uW_4000cps,10000,0.17560810956829936
100000,2p5uW_4000cps,100000,0.16771174910048306
100000,2p5uW_4000cps,1000000,0.16820337060243015
100000,4uW_4100cps,1000,0.20756891135497627
100000,4uW_4100cps,10000,0.13625850030598413
100000,4uW_4100cps,100000,0.12217276294710501
100000,4uW_4100cps,1000000,0.12470795791510898
100000,8uW_5100cps,1000,0.20514723328010995
100000,8uW_5100cps,10000,0.06550180131740506
100000,8uW_5100cps,100000,0.02191328630334341
100000,8uW_5100cps,1000000,0.008862577921642774
100000,10uW_6000cps,1000,0.196663014451786
100000,10uW_6000cps,10000,0.07574795437904987
100000,10uW_6000cps,100000,0.047756491038806075
100000,10uW_6000cps,1000000,0.04239791069267104
100000,10uW_12000cps,1000,0.2152785604601692
100000,10uW_12000cps,10000,0.08830208168773729
100000,10uW_12000cps,100000,0.06474528711439316
100000,10uW_12000cps,1000000,0.06236932061106368
100000,20uW_7000cps,1000,0.23399387866403537
100000,20uW_7000cps,10000,0.0796337618784653
100000,20uW_7000cps,100000,0.033695816548841906
100000,20uW_7000cps,1000000,0.025463714244747086
100000,30uW_7000cps,1000,0.27317185543325423
100000,30uW_7000cps,10000,0.1588486061953042
100000,30uW_7000cps,100000,0.13306521063164456
100000,30uW_7000cps,1000000,0.12867777309313355
1000000,1p2uW_3000cps,1000,0.3165387012199322
1000000,1p2uW_3000cps,10000,0.28321431320618223
1000000,1p2uW_3000cps,100000,0.2779018377063692
1000000,1p2uW_3000cps,1000000,0.27979175654746824
1000000,2p5uW_4000cps,1000,0.23982456064997643
1000000,2p5uW_4000cps,10000,0.1832809160646444
1000000,2p5uW_4000cps,100000,0.17550284988352757
1000000,2p5uW_4000cps,1000000,0.17419927765508855
1000000,4uW_4100cps,1000,0.21139754420325796
1000000,4uW_4100cps,10000,0.14137828221511423
1000000,4uW_4100cps,100000,0.13163868913181825
1000000,4uW_4100cps,1000000,0.13216060382882727
1000000,8uW_5100cps,1000,0.20599491728137764
1000000,8uW_5100cps,10000,0.06677287022623851
1000000,8uW_5100cps,100000,0.027849016476921392
1000000,8uW_5100cps,1000000,0.01853814167578302
1000000,10uW_6000cps,1000,0.19519235845402733
1000000,10uW_6000cps,10000,0.0723011073526424
1000000,10uW_6000cps,100000,0.04072961143089383
1000000,10uW_6000cps,1000000,0.03289862394998321
1000000,10uW_12000cps,1000,0.21181072888723415
1000000,10uW_12000cps,10000,0.08123845219253335
1000000,10uW_12000cps,100000,0.056224062735723696
1000000,10uW_12000cps,1000000,0.05143940139376089
1000000,20uW_7000cps,1000,0.23384719639008722
1000000,20uW_7000cps,10000,0.0789377693642249
1000000,20uW_7000cps,100000,0.033025761837557635
1000000,20uW_7000cps,1000000,0.02285016750849029
1000000,30uW_7000cps,1000,0.2705054935489482
1000000,30uW_7000cps,10000,0.15346696588928008
1000000,30uW_7000cps,100000,0.1254951616421362
1000000,30uW_7000cps,1000000,0.12191592161784502
